,win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
0,B,opponent hits the net,return net,hits the net,0,1
1,B,opponent fails to clear the net,net shot,fails to clear the net,0,2
2,A,opponent goes out of bounds,lob,goes out of bounds,1,2
3,A,opponent landing judgment error,lob,landing judgment error,2,2
4,A,opponent hits the net,net shot,hits the net,3,2
5,A,opponent fails to clear the net,return net,fails to clear the net,4,2
6,A,opponent hits the net,smash,hits the net,5,2
7,A,opponent goes out of bounds,push,goes out of bounds,6,2
8,A,opponent hits the net,net shot,hits the net,7,2
9,A,wins by landing,smash,opponent wins by landing,8,2
10,B,opponent goes out of bounds,lob,goes out of bounds,8,3
11,A,opponent goes out of bounds,lob,goes out of bounds,9,3
12,A,opponent goes out of bounds,push,goes out of bounds,10,3
13,B,wins by landing,smash,opponent wins by landing,10,4
14,B,wins by landing,net shot,opponent wins by landing,10,5
15,B,opponent goes out of bounds,lob,goes out of bounds,10,6
16,B,opponent hits the net,return net,hits the net,10,7
17,A,opponent hits the net,lob,hits the net,11,7
18,B,opponent hits the net,rush,hits the net,11,8
19,B,wins by landing,rush,opponent wins by landing,11,9
20,A,opponent landing judgment error,lob,landing judgment error,12,9
21,B,opponent hits the net,smash,hits the net,12,10
22,A,opponent goes out of bounds,drive,goes out of bounds,13,10
23,B,wins by landing,push,opponent wins by landing,13,11
24,A,opponent hits the net,drop,hits the net,14,11
25,B,opponent hits the net,return net,hits the net,14,12
26,A,opponent goes out of bounds,passive drop,goes out of bounds,15,12
27,A,opponent goes out of bounds,lob,goes out of bounds,16,12
28,B,opponent hits the net,short service,hits the net,16,13
29,A,opponent goes out of bounds,drop,goes out of bounds,17,13
30,A,wins by landing,wrist smash,opponent wins by landing,18,13
31,B,opponent landing judgment error,clear,landing judgment error,18,14
32,A,wins by landing,wrist smash,opponent wins by landing,19,14
33,B,opponent hits the net,return net,hits the net,19,15
34,A,opponent goes out of bounds,drop,goes out of bounds,20,15
35,A,opponent landing judgment error,return net,landing judgment error,21,15
